,,
Kernuitkomsten,,
"Feiten, interpretaties en aanbevelingen staan in afzonderlijke kolommen en werkbladen.",,
,,
Indicator,Uitkomst,Betekenis
Brondekking,85 van 88,Drie vaste bronuitzonderingen; inhoudelijke percentages gebruiken N=85.
Topthema 1,"T06 Mobiliteit in ruimte, woningbouw en leefomgeving",83/85; relevantiescore 92.8/100.
Topthema 2,T01 Verkeersveiligheid en veilig verkeersgedrag,81/85; relevantiescore 89.1/100.
Topthema 3,"T02 Lopen, fietsen en actieve mobiliteit",78/85; relevantiescore 87.0/100.
Topthema 4,"T03 Openbaar, collectief en vraagafhankelijk vervoer",77/85; relevantiescore 84.7/100.
Topthema 5,"T04 Autoverkeer, wegennet, doorstroming en ontsluiting",75/85; relevantiescore 82.9/100.
Hoogst gerangschikte directe gemeenten,Amsterdam (30); Eindhoven (30); Rotterdam (30); Dordrecht (30); Waalwijk (30),"Tie-breakers: A5, Score B, aantal intensiteit-3-thema’s, alfabetisch."
Hoogst gerangschikte regiogemeenten,Stein (29); Midden-Groningen (29); Rheden (29); Venray (29); Horst aan de Maas (29),Eigen ranglijst; niet gemengd met rechtstreekse gemeenten.
Regiorang 1,Regio Groningen-Assen: 24.83,n=3; gemeentelijk gemiddelde.
Nieuwe programmalijn,Civiel assetmanagement,57/85; 52 concreet of programmatisch.
Nieuwe gezamenlijke portefeuille,Hoofdnetten en grootschalige wegprojecten,45/85; 34 concreet of programmatisch.
